year,country,inflation_type,inflation_avg_percent,source_url
2018,United States,CPI,2.44,https://www.global-rates.com/en/inflation/historical/2018/
2018,Euro Area,HICP,1.75,https://www.global-rates.com/en/inflation/historical/2018/
2019,Canada,CPI,1.95,https://www.global-rates.com/en/inflation/historical/2019/
2019,France,CPI,1.11,https://www.global-rates.com/en/inflation/historical/2019/
2019,Germany,CPI,1.45,https://www.global-rates.com/en/inflation/historical/2019/
2019,Italy,CPI,0.61,https://www.global-rates.com/en/inflation/historical/2019/
2019,Japan,CPI,0.47,https://www.global-rates.com/en/inflation/historical/2019/
2019,United Kingdom,CPI,1.74,https://www.global-rates.com/en/inflation/historical/2019/
2019,United States,CPI,1.81,https://www.global-rates.com/en/inflation/historical/2019/
2019,Euro Area,HICP,1.2,https://www.global-rates.com/en/inflation/historical/2019/
2020,Canada,CPI,0.72,https://www.global-rates.com/en/inflation/historical/2020/
2020,France,CPI,0.48,https://www.global-rates.com/en/inflation/historical/2020/
2020,Germany,CPI,0.15,https://www.global-rates.com/en/inflation/historical/2020/
2020,Italy,CPI,-0.14,https://www.global-rates.com/en/inflation/historical/2020/
2020,Japan,CPI,-0.02,https://www.global-rates.com/en/inflation/historical/2020/
2020,United Kingdom,CPI,0.99,https://www.global-rates.com/en/inflation/historical/2020/
2020,United States,CPI,1.24,https://www.global-rates.com/en/inflation/historical/2020/
2020,Euro Area,HICP,0.26,https://www.global-rates.com/en/inflation/historical/2020/
2021,Canada,CPI,3.39,https://www.global-rates.com/en/inflation/historical/2021/
2021,France,CPI,1.64,https://www.global-rates.com/en/inflation/historical/2021/
2021,Germany,CPI,3.07,https://www.global-rates.com/en/inflation/historical/2021/
2021,Italy,CPI,1.88,https://www.global-rates.com/en/inflation/historical/2021/
2021,Japan,CPI,-0.23,https://www.global-rates.com/en/inflation/historical/2021/
2021,United Kingdom,CPI,2.52,https://www.global-rates.com/en/inflation/historical/2021/
2021,United States,CPI,4.69,https://www.global-rates.com/en/inflation/historical/2021/
2021,Euro Area,HICP,2.59,https://www.global-rates.com/en/inflation/historical/2021/
2022,Canada,CPI,6.8,https://www.global-rates.com/en/inflation/historical/2022/
